ID,Group,RunNum,Day,ER,DIV,CONTAM,CHT,cDAY,cCOVER,cSTART,cCENTER,cBOTH,cNEITHER,totalsq,
J1.1,J,1,1,65,0,0,0,,0,0,0,0,0,201,
J1.2,J,1,2,256,0,0,0,,0,0,0,0,0,201,
J1.3,J,1,3,387,0,0,0,,0,0,0,0,0,201,
J1.4,J,1,4,1289,0,0,0,,0,0,0,0,0,201,
J1.5,J,1,5,4466,1,0,0,,0,0,0,0,0,201,
J1.6,J,1,6,5436,2,0,13,,0,0,0,0,0,201,
J2.1,J,2,1,129,0,0,0,,0,0,0,0,0,201,
J2.2,J,2,2,260,0,0,0,,0,0,0,0,0,201,
J2.3,J,2,3,996,0,0,0,,0,0,0,0,0,201,
J2.5,J,2,5,4631,4,0,15,,0,0,0,0,0,201,
J3.1,J,3,1,131,0,0,0,,0,0,0,0,0,201,
J3.2,J,3,2,131,0,0,0,,0,0,0,0,0,201,
J3.3,J,3,3,387,0,0,0,,0,0,0,0,0,201,
J3.4,J,3,4,512,0,0,0,,0,0,0,0,0,201,
J3.5,J,3,5,875,0,1,0,5,58,1,0,0,0,201,
J3.6,J,3,6,2266,0,1,3,5,88,0,0,1,0,201,
J3.7,J,3,7,2436,0,1,4,5,92,0,0,1,0,201,
J4.1,J,4,1,131,0,0,0,,0,0,0,0,0,201,
J4.2,J,4,2,573,0,1,0,2,4,1,0,0,0,201,
J4.3,J,4,3,815,0,1,0,2,18,1,0,0,0,201,
J4.4,J,4,4,1119,0,1,4,2,33,1,0,0,0,201,
J4.5,J,4,5,2211,1,1,5,2,50,0,0,1,0,201,
J4.6,J,4,6,2234,1,1,3,2,135,0,0,1,0,201,
J4.7,J,4,7,3796,2,1,5,2,198,0,0,1,0,201,
J4.8,J,4,8,4076,3,1,7,2,238,0,0,1,0,201,
J5.1,J,5,1,131,0,0,0,,0,0,0,0,0,201,
J5.3,J,5,3,1037,1,1,0,3,32,1,0,0,0,201,
J5.4,J,5,4,1159,1,1,0,3,95,1,0,0,0,201,
J5.5,J,5,5,1281,1,1,0,3,157,0,0,1,0,201,
J5.6,J,5,6,750,1,1,1,3,176,0,0,1,0,201,
K1.1,K,1,1,129,0,0,0,,0,0,0,0,0,201,
K1.2,K,1,2,573,0,0,0,,0,0,0,0,0,201,
K1.3,K,1,3,756,0,0,0,,0,0,0,0,0,201,
K1.4,K,1,4,2528,3,0,8,,0,0,0,0,0,201,
K1.5,K,1,5,4663,4,0,10,,0,0,0,0,0,201,
K2.1,K,2,1,260,0,0,0,,0,0,0,0,0,201,
K2.2,K,2,2,389,0,0,0,,0,0,0,0,0,201,
K2.3,K,2,3,997,0,0,0,,0,0,0,0,0,201,
K2.4,K,2,4,2823,3,0,0,,0,0,0,0,0,201,
K2.6,K,2,6,6484,4,0,12,,0,0,0,0,0,201,
K3.1,K,3,1,260,0,0,0,,0,0,0,0,0,201,
K3.3,K,3,3,387,0,0,0,,0,0,0,0,0,201,
K3.4,K,3,4,635,0,1,0,3,11,1,0,0,0,201,
K3.5,K,3,5,1247,1,1,2,3,133,1,0,0,0,201,
L1.1,L,1,1,131,0,0,0,,0,,0,0,0,201,
L1.2,L,1,2,631,0,0,0,,0,,0,0,0,201,
L1.3,L,1,3,694,0,1,0,3,2,1,0,0,0,201,
L1.4,L,1,4,940,0,1,1,3,30,1,0,0,0,201,
L1.5,L,1,5,1951,2,1,3,3,49,1,0,0,0,201,
L2.1,L,2,1,323,0,0,0,,0,0,0,0,0,201,
L2.2,L,2,2,573,0,0,0,,0,0,0,0,0,201,
L2.3,L,2,3,1426,0,0,1,,0,0,0,0,0,201,
L2.6,L,2,6,4475,3,0,12,,0,0,0,0,0,201,
L3.1,L,3,1,260,0,0,0,,0,0,0,0,0,201,
L3.3,L,3,3,635,0,0,0,,0,0,0,0,0,201,
L3.4,L,3,4,1759,0,0,0,,0,0,0,0,0,201,
L3.5,L,3,5,3182,3,1,2,5,2,1,0,0,0,201,
L4.1,L,4,1,260,0,0,0,,0,0,0,0,0,201,
L4.2,L,4,2,387,0,0,0,,0,0,0,0,0,201,
L4.3,L,4,3,576,0,1,0,3,4,1,0,0,0,201,
L4.4,L,4,4,2204,1,1,4,3,10,1,0,0,0,201,
L4.5,L,4,5,3340,3,1,7,3,31,1,0,0,0,201,
L4.6,L,4,6,4052,3,1,8,3,108,0,0,1,0,201,i feel like there is more contam but it is difficult ot see.... go back through each day to count and get more accurate data
M1.1,M,1,1,192,0,0,0,,0,0,0,0,0,201,
M1.2,M,1,2,387,0,0,0,,0,0,0,0,0,201,
M1.3,M,1,3,1115,0,0,0,,0,0,0,0,0,201,
M1.4,M,1,4,3687,1,0,0,,0,0,0,0,0,201,
M1.5,M,1,5,5404,3,0,0,,0,0,0,0,0,201,
